strategy,dimension,NThreads,Tempo (s)
1,100,1,9.7e-05
1,1000,1,0.008296
1,10000,1,0.719956
1,100,2,9.4e-05
1,1000,2,0.008378
1,10000,2,0.71987
1,100,4,0.000106
1,1000,4,0.008323
1,10000,4,0.719827
1,100,8,9.6e-05
1,1000,8,0.007153
1,10000,8,0.719919
2,100,1,9e-05
2,1000,1,0.008287
2,10000,1,0.719018
2,100,2,0.000195
2,1000,2,0.016094
2,10000,2,4.253672
2,100,4,0.000403
2,1000,4,0.050602
2,10000,4,5.184061
2,100,8,0.000785
2,1000,8,0.074531
2,10000,8,7.298535
3,100,1,0.000108
3,1000,1,0.009287
3,10000,1,0.928559
3,100,2,0.002174
3,1000,2,0.006486
3,10000,2,0.479928
3,100,4,0.002458
3,1000,4,0.0061
3,10000,4,0.326611
3,100,8,0.007185
3,1000,8,0.009164
3,10000,8,0.173485
